"id","sequence","type","name"
1,1,"2inv_activities","Harta Tetap Terwujud"
2,2,"2inv_activities","Harta Tetap Lainnya"  
3,1,"3fin_activities","Modal"   
4,2,"3fin_activities","Pengeluaran Luar Usaha"
5,1,"4kas","Kas dan Setara Kas"
6,1,"1opr_activities","Piutang Dagang"
7,2,"1opr_activities","Persediaan"        
8,3,"1opr_activities","Biaya Dibayar Dimuka"
9,4,"1opr_activities","Harta Lancar Lainnya"
10,5,"1opr_activities","Hutang Jangka Panjang"
11,6,"1opr_activities","Hutang Lancar" 
12,7,"1opr_activities","Pendapatan Usaha"
13,8,"1opr_activities","Biaya Usaha"      
14,9,"1opr_activities","Biaya Operasional"
15,10,"1opr_activities","Pendapatan Lainnya"
16,11,"1opr_activities","Biaya Lainnya"    
